epoch,train_loss,val_loss,action_loss
10,0.045796593216558296,0.032815494175468175,0.06480431982449122
20,0.029276255316411457,0.02511565693254982,0.05125174990722111
30,0.02057955341103176,0.02308281311499221,0.04818976258060762
40,0.015603105122378717,0.02326481110815491,0.04677164541291339
50,0.013761795766185969,0.023872281491224254,0.04088739937703524
